Category,Sushi/poke,Noodles,Dumplings/dim sum,bagel,fast food/fried food,Mexican,Halal/kebab,Indian,Breakfast,Hot pot,Thai,sichuan,italian,steak/meat,korean,sandwich,Other
,sashimiya,ramen kamo duck ramen,xiao yang sheng jian,popup bagels,hotboys,duos,salem,zareens,upstreet diner,daimaru shabu shabu,kiin lao,yue bai wei,fox and the knife,wagyu volcano,jungsik,the exchange,chiayi restaurant
,mola,ichiran times square,golden unicorn,apollo bagels,ecola seafood,las palmas,different kebab,,sweet maple,happy lamb,took took 98,,nonna gent,cafe komon,sodam,lees sandwiches,monsnack
,matsunori,ramen danbo,good luck dim sum,,in n out,los tacos no 1,majestic shawarma,,speckled egg,yotea + yoka kitchen,,,luisa's SF,butterjoint,,squirrel hill market,ethiopic
,everyday noodle,chun shui tang original,good mong kok,,98k,tortas frontera ORD,omars halal,,bom dough ,,,,,hamburg steak fukuyoshi,,sizuya - gion,nomnomnom poutine
,sushi bullpen,kumamoto style ramen place,juicy dumpling,,stonemill matcha,,skewer cart,,ginza breakfast lab,,,,,korean bbq south oakland,,,todai kitchen (clam chowder)
,golden gai,duan chun zhen,551 horai,,chick-n-grille,,ghent kebab place,,misuzu coffee,,,,,kuroge wagyu asakusa,,,red fish blue fish
,ozakaya,yume ga arukara,nan xiang,,frituuur bij filip,,mangal doner,,,,,,,,,,merai
,yoshino,pho ha noi,xianjufu,,frittenwerk heidelberg,,adams doner und pizza,,,,,,,,,,fig & ash
,diners 2 + 1,dagu rice noodle,din tai fung,,upit's burger,,halal guys pitts,,,,,,,,,,okonomiyaki kaji
,h mart sushi,kyuramen,fuchun ju,,,,greek souvlaki antwerp,,,,,,,,,,apteka
,jj poke,ippudo berkeley,180 cafe,,,,,,,,,,,,,,claypot cafe
,andy's sushi,fujiya,cheong fun cart,,,,,,,,,,,,,,konigsbacher treff
,,tan lac vien,chows kitchen,,,,,,,,,,,,,,joes pizza
,,kasamaru soba,liu liu sheng jian,,,,,,,,,,,,,,
,,marufuku ramen,joes steam rice roll,,,,,,,,,,,,,,
,,nikujumen susumu,,,,,,,,,,,,,,,
,,tasty noodle,,,,,,,,,,,,,,,
